Category: All categories

Day,rebecca black: (Worldwide)
2011-01-01,<1
2011-01-02,<1
2011-01-03,0
2011-01-04,<1
2011-01-05,<1
2011-01-06,<1
2011-01-07,<1
2011-01-08,<1
2011-01-09,<1
2011-01-10,<1
2011-01-11,<1
2011-01-12,<1
2011-01-13,<1
2011-01-14,<1
2011-01-15,<1
2011-01-16,<1
2011-01-17,<1
2011-01-18,<1
2011-01-19,<1
2011-01-20,<1
2011-01-21,<1
2011-01-22,<1
2011-01-23,<1
2011-01-24,<1
2011-01-25,<1
2011-01-26,<1
2011-01-27,<1
2011-01-28,<1
2011-01-29,<1
2011-01-30,<1
2011-01-31,<1
2011-02-01,<1
2011-02-02,<1
2011-02-03,<1
2011-02-04,<1
2011-02-05,<1
2011-02-06,<1
2011-02-07,<1
2011-02-08,<1
2011-02-09,<1
2011-02-10,<1
2011-02-11,<1
2011-02-12,<1
2011-02-13,<1
2011-02-14,<1
2011-02-15,<1
2011-02-16,<1
2011-02-17,<1
2011-02-18,<1
2011-02-19,<1
2011-02-20,<1
2011-02-21,<1
2011-02-22,<1
2011-02-23,<1
2011-02-24,<1
2011-02-25,<1
2011-02-26,<1
2011-02-27,<1
2011-02-28,<1
2011-03-01,<1
2011-03-02,<1
2011-03-03,<1
2011-03-04,<1
2011-03-05,<1
2011-03-06,<1
2011-03-07,<1
2011-03-08,<1
2011-03-09,<1
2011-03-10,<1
2011-03-11,<1
2011-03-12,3
2011-03-13,17
2011-03-14,27
2011-03-15,39
2011-03-16,56
2011-03-17,66
2011-03-18,100
2011-03-19,88
2011-03-20,68
2011-03-21,66
2011-03-22,58
2011-03-23,62
2011-03-24,58
2011-03-25,80
2011-03-26,63
2011-03-27,48
2011-03-28,36
2011-03-29,32
2011-03-30,30
2011-03-31,31
2011-04-01,42
2011-04-02,37
2011-04-03,29
2011-04-04,22
2011-04-05,19
2011-04-06,16
2011-04-07,17
2011-04-08,30
2011-04-09,24
2011-04-10,19
2011-04-11,20
2011-04-12,19
2011-04-13,18
2011-04-14,19
2011-04-15,29
2011-04-16,26
2011-04-17,22
2011-04-18,18
2011-04-19,17
2011-04-20,20
2011-04-21,18
2011-04-22,22
2011-04-23,21
2011-04-24,20
2011-04-25,17
2011-04-26,15
2011-04-27,13
2011-04-28,15
2011-04-29,16
2011-04-30,13
2011-05-01,13
2011-05-02,10
2011-05-03,10
2011-05-04,10
2011-05-05,11
2011-05-06,16
2011-05-07,16
2011-05-08,16
2011-05-09,14
2011-05-10,14
2011-05-11,17
2011-05-12,16
2011-05-13,21
2011-05-14,18
2011-05-15,36
2011-05-16,23
2011-05-17,21
2011-05-18,17
2011-05-19,14
2011-05-20,18
2011-05-21,18
2011-05-22,15
2011-05-23,13
2011-05-24,10
2011-05-25,8
2011-05-26,8
2011-05-27,11
2011-05-28,9
2011-05-29,9
2011-05-30,8
2011-05-31,8
2011-06-01,8
2011-06-02,8
2011-06-03,11
2011-06-04,10
2011-06-05,10
2011-06-06,9
2011-06-07,9
2011-06-08,9
2011-06-09,10
2011-06-10,13
2011-06-11,13
2011-06-12,13
2011-06-13,16
2011-06-14,16
2011-06-15,15
2011-06-16,15
2011-06-17,29
2011-06-18,26
2011-06-19,21
2011-06-20,15
2011-06-21,14
2011-06-22,13
2011-06-23,13
2011-06-24,16
2011-06-25,14
2011-06-26,12
2011-06-27,8
2011-06-28,6
2011-06-29,6
2011-06-30,6
