Category: All categories

Day,rebecca black: (Worldwide)
2017-01-01,33
2017-01-02,36
2017-01-03,48
2017-01-04,26
2017-01-05,40
2017-01-06,56
2017-01-07,37
2017-01-08,27
2017-01-09,28
2017-01-10,28
2017-01-11,23
2017-01-12,37
2017-01-13,80
2017-01-14,33
2017-01-15,28
2017-01-16,20
2017-01-17,35
2017-01-18,40
2017-01-19,27
2017-01-20,76
2017-01-21,39
2017-01-22,41
2017-01-23,19
2017-01-24,21
2017-01-25,34
2017-01-26,32
2017-01-27,76
2017-01-28,68
2017-01-29,35
2017-01-30,38
2017-01-31,36
2017-02-01,25
2017-02-02,32
2017-02-03,66
2017-02-04,27
2017-02-05,27
2017-02-06,43
2017-02-07,27
2017-02-08,25
2017-02-09,32
2017-02-10,72
2017-02-11,42
2017-02-12,33
2017-02-13,28
2017-02-14,18
2017-02-15,32
2017-02-16,30
2017-02-17,67
2017-02-18,42
2017-02-19,26
2017-02-20,33
2017-02-21,25
2017-02-22,37
2017-02-23,24
2017-02-24,73
2017-02-25,57
2017-02-26,49
2017-02-27,36
2017-02-28,29
2017-03-01,27
2017-03-02,42
2017-03-03,57
2017-03-04,38
2017-03-05,29
2017-03-06,30
2017-03-07,27
2017-03-08,29
2017-03-09,29
2017-03-10,59
2017-03-11,43
2017-03-12,54
2017-03-13,31
2017-03-14,53
2017-03-15,100
2017-03-16,35
2017-03-17,65
2017-03-18,43
2017-03-19,40
2017-03-20,14
2017-03-21,33
2017-03-22,36
2017-03-23,29
2017-03-24,71
2017-03-25,40
2017-03-26,21
2017-03-27,38
2017-03-28,26
2017-03-29,30
2017-03-30,39
2017-03-31,71
2017-04-01,74
2017-04-02,43
2017-04-03,27
2017-04-04,25
2017-04-05,30
2017-04-06,29
2017-04-07,67
2017-04-08,41
2017-04-09,26
2017-04-10,20
2017-04-11,28
2017-04-12,30
2017-04-13,21
2017-04-14,52
2017-04-15,34
2017-04-16,43
2017-04-17,25
2017-04-18,33
2017-04-19,32
2017-04-20,36
2017-04-21,65
2017-04-22,42
2017-04-23,42
2017-04-24,44
2017-04-25,29
2017-04-26,25
2017-04-27,32
2017-04-28,60
2017-04-29,41
2017-04-30,54
2017-05-01,43
2017-05-02,45
2017-05-03,36
2017-05-04,25
2017-05-05,65
2017-05-06,46
2017-05-07,48
2017-05-08,47
2017-05-09,40
2017-05-10,38
2017-05-11,23
2017-05-12,58
2017-05-13,30
2017-05-14,20
2017-05-15,23
2017-05-16,30
2017-05-17,21
2017-05-18,24
2017-05-19,61
2017-05-20,36
2017-05-21,23
2017-05-22,45
2017-05-23,18
2017-05-24,32
2017-05-25,28
2017-05-26,49
2017-05-27,48
2017-05-28,24
2017-05-29,29
2017-05-30,21
2017-05-31,17
2017-06-01,34
2017-06-02,54
2017-06-03,32
2017-06-04,29
2017-06-05,20
2017-06-06,26
2017-06-07,19
2017-06-08,21
2017-06-09,44
2017-06-10,35
2017-06-11,38
2017-06-12,33
2017-06-13,28
2017-06-14,31
2017-06-15,24
2017-06-16,78
2017-06-17,33
2017-06-18,34
2017-06-19,39
2017-06-20,48
2017-06-21,48
2017-06-22,49
2017-06-23,62
2017-06-24,28
2017-06-25,30
2017-06-26,42
2017-06-27,21
2017-06-28,39
2017-06-29,22
2017-06-30,58
