Category: All categories

Day,rebecca black: (Worldwide)
2012-01-01,100
2012-01-02,51
2012-01-03,40
2012-01-04,41
2012-01-05,40
2012-01-06,56
2012-01-07,54
2012-01-08,47
2012-01-09,35
2012-01-10,28
2012-01-11,36
2012-01-12,37
2012-01-13,62
2012-01-14,49
2012-01-15,31
2012-01-16,31
2012-01-17,26
2012-01-18,23
2012-01-19,22
2012-01-20,44
2012-01-21,38
2012-01-22,35
2012-01-23,29
2012-01-24,26
2012-01-25,24
2012-01-26,22
2012-01-27,36
2012-01-28,30
2012-01-29,25
2012-01-30,18
2012-01-31,20
2012-02-01,23
2012-02-02,21
2012-02-03,31
2012-02-04,26
2012-02-05,23
2012-02-06,24
2012-02-07,19
2012-02-08,22
2012-02-09,24
2012-02-10,40
2012-02-11,34
2012-02-12,28
2012-02-13,41
2012-02-14,24
2012-02-15,21
2012-02-16,25
2012-02-17,41
2012-02-18,27
2012-02-19,24
2012-02-20,20
2012-02-21,18
2012-02-22,21
2012-02-23,19
2012-02-24,36
2012-02-25,24
2012-02-26,25
2012-02-27,17
2012-02-28,24
2012-02-29,23
2012-03-01,21
2012-03-02,35
2012-03-03,28
2012-03-04,23
2012-03-05,22
2012-03-06,20
2012-03-07,18
2012-03-08,20
2012-03-09,34
2012-03-10,29
2012-03-11,27
2012-03-12,17
2012-03-13,23
2012-03-14,23
2012-03-15,20
2012-03-16,29
2012-03-17,25
2012-03-18,26
2012-03-19,16
2012-03-20,18
2012-03-21,17
2012-03-22,17
2012-03-23,29
2012-03-24,23
2012-03-25,20
2012-03-26,14
2012-03-27,17
2012-03-28,17
2012-03-29,15
2012-03-30,25
2012-03-31,22
2012-04-01,15
2012-04-02,13
2012-04-03,13
2012-04-04,16
2012-04-05,16
2012-04-06,24
2012-04-07,18
2012-04-08,19
2012-04-09,17
2012-04-10,16
2012-04-11,16
2012-04-12,15
2012-04-13,30
2012-04-14,19
2012-04-15,14
2012-04-16,13
2012-04-17,12
2012-04-18,20
2012-04-19,22
2012-04-20,36
2012-04-21,26
2012-04-22,27
2012-04-23,31
2012-04-24,25
2012-04-25,18
2012-04-26,20
2012-04-27,29
2012-04-28,25
2012-04-29,19
2012-04-30,13
2012-05-01,18
2012-05-02,14
2012-05-03,13
2012-05-04,21
2012-05-05,20
2012-05-06,16
2012-05-07,18
2012-05-08,27
2012-05-09,25
2012-05-10,21
2012-05-11,38
2012-05-12,19
2012-05-13,19
2012-05-14,15
2012-05-15,14
2012-05-16,19
2012-05-17,17
2012-05-18,25
2012-05-19,22
2012-05-20,15
2012-05-21,11
2012-05-22,12
2012-05-23,11
2012-05-24,13
2012-05-25,20
2012-05-26,16
2012-05-27,17
2012-05-28,11
2012-05-29,30
2012-05-30,26
2012-05-31,21
2012-06-01,25
2012-06-02,17
2012-06-03,20
2012-06-04,13
2012-06-05,16
2012-06-06,12
2012-06-07,11
2012-06-08,21
2012-06-09,17
2012-06-10,16
2012-06-11,13
2012-06-12,12
2012-06-13,12
2012-06-14,16
2012-06-15,24
2012-06-16,28
2012-06-17,20
2012-06-18,13
2012-06-19,15
2012-06-20,16
2012-06-21,19
2012-06-22,28
2012-06-23,17
2012-06-24,16
2012-06-25,16
2012-06-26,13
2012-06-27,14
2012-06-28,13
2012-06-29,20
2012-06-30,18
