Category: All categories

Day,rebecca black: (Worldwide)
2015-01-01,53
2015-01-02,79
2015-01-03,73
2015-01-04,54
2015-01-05,42
2015-01-06,50
2015-01-07,44
2015-01-08,35
2015-01-09,80
2015-01-10,59
2015-01-11,49
2015-01-12,38
2015-01-13,42
2015-01-14,41
2015-01-15,32
2015-01-16,69
2015-01-17,71
2015-01-18,56
2015-01-19,42
2015-01-20,48
2015-01-21,30
2015-01-22,34
2015-01-23,94
2015-01-24,56
2015-01-25,44
2015-01-26,37
2015-01-27,46
2015-01-28,40
2015-01-29,37
2015-01-30,94
2015-01-31,49
2015-02-01,40
2015-02-02,38
2015-02-03,36
2015-02-04,23
2015-02-05,42
2015-02-06,89
2015-02-07,55
2015-02-08,44
2015-02-09,41
2015-02-10,22
2015-02-11,36
2015-02-12,39
2015-02-13,84
2015-02-14,60
2015-02-15,38
2015-02-16,44
2015-02-17,30
2015-02-18,31
2015-02-19,38
2015-02-20,87
2015-02-21,64
2015-02-22,55
2015-02-23,47
2015-02-24,37
2015-02-25,46
2015-02-26,33
2015-02-27,78
2015-02-28,61
2015-03-01,39
2015-03-02,36
2015-03-03,36
2015-03-04,41
2015-03-05,39
2015-03-06,94
2015-03-07,61
2015-03-08,61
2015-03-09,46
2015-03-10,36
2015-03-11,54
2015-03-12,72
2015-03-13,99
2015-03-14,58
2015-03-15,50
2015-03-16,38
2015-03-17,32
2015-03-18,33
2015-03-19,44
2015-03-20,91
2015-03-21,47
2015-03-22,39
2015-03-23,35
2015-03-24,30
2015-03-25,42
2015-03-26,44
2015-03-27,81
2015-03-28,59
2015-03-29,35
2015-03-30,37
2015-03-31,36
2015-04-01,37
2015-04-02,34
2015-04-03,62
2015-04-04,43
2015-04-05,45
2015-04-06,22
2015-04-07,33
2015-04-08,46
2015-04-09,39
2015-04-10,94
2015-04-11,61
2015-04-12,63
2015-04-13,57
2015-04-14,43
2015-04-15,40
2015-04-16,51
2015-04-17,59
2015-04-18,55
2015-04-19,47
2015-04-20,40
2015-04-21,33
2015-04-22,37
2015-04-23,53
2015-04-24,100
2015-04-25,62
2015-04-26,47
2015-04-27,34
2015-04-28,51
2015-04-29,36
2015-04-30,52
2015-05-01,92
2015-05-02,70
2015-05-03,35
2015-05-04,32
2015-05-05,28
2015-05-06,33
2015-05-07,43
2015-05-08,83
2015-05-09,39
2015-05-10,37
2015-05-11,19
2015-05-12,34
2015-05-13,32
2015-05-14,37
2015-05-15,65
2015-05-16,37
2015-05-17,44
2015-05-18,48
2015-05-19,31
2015-05-20,34
2015-05-21,27
2015-05-22,57
2015-05-23,53
2015-05-24,36
2015-05-25,39
2015-05-26,32
2015-05-27,31
2015-05-28,47
2015-05-29,78
2015-05-30,36
2015-05-31,51
2015-06-01,19
2015-06-02,35
2015-06-03,48
2015-06-04,40
2015-06-05,67
2015-06-06,37
2015-06-07,63
2015-06-08,26
2015-06-09,38
2015-06-10,32
2015-06-11,42
2015-06-12,71
2015-06-13,53
2015-06-14,35
2015-06-15,29
2015-06-16,36
2015-06-17,26
2015-06-18,38
2015-06-19,71
2015-06-20,36
2015-06-21,45
2015-06-22,37
2015-06-23,32
2015-06-24,22
2015-06-25,24
2015-06-26,56
2015-06-27,31
2015-06-28,54
2015-06-29,30
2015-06-30,38
