Category: All categories

Day,rebecca black: (Worldwide)
2016-01-01,42
2016-01-02,35
2016-01-03,37
2016-01-04,41
2016-01-05,24
2016-01-06,30
2016-01-07,28
2016-01-08,48
2016-01-09,45
2016-01-10,44
2016-01-11,38
2016-01-12,32
2016-01-13,44
2016-01-14,33
2016-01-15,55
2016-01-16,40
2016-01-17,36
2016-01-18,41
2016-01-19,33
2016-01-20,31
2016-01-21,30
2016-01-22,55
2016-01-23,39
2016-01-24,27
2016-01-25,31
2016-01-26,34
2016-01-27,33
2016-01-28,32
2016-01-29,59
2016-01-30,34
2016-01-31,32
2016-02-01,28
2016-02-02,26
2016-02-03,28
2016-02-04,31
2016-02-05,77
2016-02-06,42
2016-02-07,46
2016-02-08,30
2016-02-09,36
2016-02-10,22
2016-02-11,43
2016-02-12,63
2016-02-13,35
2016-02-14,49
2016-02-15,29
2016-02-16,30
2016-02-17,26
2016-02-18,29
2016-02-19,64
2016-02-20,40
2016-02-21,27
2016-02-22,22
2016-02-23,21
2016-02-24,19
2016-02-25,42
2016-02-26,60
2016-02-27,23
2016-02-28,26
2016-02-29,25
2016-03-01,39
2016-03-02,21
2016-03-03,33
2016-03-04,66
2016-03-05,37
2016-03-06,33
2016-03-07,17
2016-03-08,27
2016-03-09,24
2016-03-10,31
2016-03-11,59
2016-03-12,43
2016-03-13,33
2016-03-14,30
2016-03-15,22
2016-03-16,28
2016-03-17,25
2016-03-18,64
2016-03-19,31
2016-03-20,30
2016-03-21,22
2016-03-22,22
2016-03-23,27
2016-03-24,32
2016-03-25,47
2016-03-26,32
2016-03-27,33
2016-03-28,36
2016-03-29,26
2016-03-30,25
2016-03-31,24
2016-04-01,100
2016-04-02,34
2016-04-03,28
2016-04-04,23
2016-04-05,23
2016-04-06,57
2016-04-07,53
2016-04-08,77
2016-04-09,52
2016-04-10,38
2016-04-11,35
2016-04-12,21
2016-04-13,29
2016-04-14,35
2016-04-15,67
2016-04-16,44
2016-04-17,47
2016-04-18,31
2016-04-19,25
2016-04-20,31
2016-04-21,28
2016-04-22,51
2016-04-23,45
2016-04-24,34
2016-04-25,30
2016-04-26,26
2016-04-27,21
2016-04-28,23
2016-04-29,60
2016-04-30,40
2016-05-01,36
2016-05-02,36
2016-05-03,34
2016-05-04,32
2016-05-05,23
2016-05-06,48
2016-05-07,32
2016-05-08,29
2016-05-09,29
2016-05-10,39
2016-05-11,25
2016-05-12,30
2016-05-13,78
2016-05-14,41
2016-05-15,30
2016-05-16,24
2016-05-17,40
2016-05-18,31
2016-05-19,18
2016-05-20,54
2016-05-21,39
2016-05-22,38
2016-05-23,22
2016-05-24,25
2016-05-25,18
2016-05-26,31
2016-05-27,48
2016-05-28,34
2016-05-29,27
2016-05-30,18
2016-05-31,31
2016-06-01,35
2016-06-02,17
2016-06-03,53
2016-06-04,31
2016-06-05,29
2016-06-06,26
2016-06-07,27
2016-06-08,30
2016-06-09,36
2016-06-10,56
2016-06-11,37
2016-06-12,31
2016-06-13,26
2016-06-14,25
2016-06-15,21
2016-06-16,23
2016-06-17,55
2016-06-18,43
2016-06-19,28
2016-06-20,28
2016-06-21,38
2016-06-22,35
2016-06-23,42
2016-06-24,57
2016-06-25,31
2016-06-26,35
2016-06-27,33
2016-06-28,31
2016-06-29,16
2016-06-30,40
