Category: All categories

Day,rebecca black: (Worldwide)
2018-01-01,37
2018-01-02,43
2018-01-03,68
2018-01-04,38
2018-01-05,70
2018-01-06,33
2018-01-07,31
2018-01-08,28
2018-01-09,19
2018-01-10,27
2018-01-11,38
2018-01-12,71
2018-01-13,41
2018-01-14,32
2018-01-15,25
2018-01-16,29
2018-01-17,24
2018-01-18,36
2018-01-19,73
2018-01-20,37
2018-01-21,33
2018-01-22,29
2018-01-23,34
2018-01-24,25
2018-01-25,28
2018-01-26,68
2018-01-27,44
2018-01-28,36
2018-01-29,29
2018-01-30,24
2018-01-31,21
2018-02-01,25
2018-02-02,62
2018-02-03,44
2018-02-04,36
2018-02-05,24
2018-02-06,28
2018-02-07,32
2018-02-08,37
2018-02-09,70
2018-02-10,34
2018-02-11,34
2018-02-12,30
2018-02-13,27
2018-02-14,34
2018-02-15,30
2018-02-16,71
2018-02-17,33
2018-02-18,42
2018-02-19,34
2018-02-20,32
2018-02-21,24
2018-02-22,29
2018-02-23,70
2018-02-24,45
2018-02-25,33
2018-02-26,34
2018-02-27,32
2018-02-28,23
2018-03-01,26
2018-03-02,78
2018-03-03,40
2018-03-04,39
2018-03-05,28
2018-03-06,24
2018-03-07,35
2018-03-08,41
2018-03-09,100
2018-03-10,38
2018-03-11,32
2018-03-12,35
2018-03-13,30
2018-03-14,36
2018-03-15,44
2018-03-16,75
