Category: All categories

Day,rebecca black: (Worldwide)
2013-07-01,3
2013-07-02,2
2013-07-03,4
2013-07-04,4
2013-07-05,5
2013-07-06,4
2013-07-07,6
2013-07-08,5
2013-07-09,7
2013-07-10,5
2013-07-11,5
2013-07-12,7
2013-07-13,4
2013-07-14,5
2013-07-15,4
2013-07-16,4
2013-07-17,3
2013-07-18,3
2013-07-19,7
2013-07-20,4
2013-07-21,5
2013-07-22,3
2013-07-23,4
2013-07-24,3
2013-07-25,4
2013-07-26,7
2013-07-27,4
2013-07-28,4
2013-07-29,3
2013-07-30,4
2013-07-31,5
2013-08-01,4
2013-08-02,7
2013-08-03,5
2013-08-04,5
2013-08-05,5
2013-08-06,3
2013-08-07,3
2013-08-08,4
2013-08-09,7
2013-08-10,5
2013-08-11,4
2013-08-12,3
2013-08-13,5
2013-08-14,3
2013-08-15,5
2013-08-16,6
2013-08-17,5
2013-08-18,4
2013-08-19,3
2013-08-20,3
2013-08-21,3
2013-08-22,3
2013-08-23,7
2013-08-24,4
2013-08-25,3
2013-08-26,3
2013-08-27,3
2013-08-28,3
2013-08-29,5
2013-08-30,6
2013-08-31,4
2013-09-01,3
2013-09-02,2
2013-09-03,3
2013-09-04,2
2013-09-05,3
2013-09-06,5
2013-09-07,4
2013-09-08,4
2013-09-09,4
2013-09-10,2
2013-09-11,2
2013-09-12,2
2013-09-13,7
2013-09-14,4
2013-09-15,3
2013-09-16,3
2013-09-17,2
2013-09-18,3
2013-09-19,2
2013-09-20,7
2013-09-21,3
2013-09-22,3
2013-09-23,2
2013-09-24,2
2013-09-25,2
2013-09-26,3
2013-09-27,7
2013-09-28,4
2013-09-29,3
2013-09-30,2
2013-10-01,2
2013-10-02,2
2013-10-03,3
2013-10-04,5
2013-10-05,3
2013-10-06,3
2013-10-07,2
2013-10-08,3
2013-10-09,3
2013-10-10,3
2013-10-11,5
2013-10-12,3
2013-10-13,4
2013-10-14,2
2013-10-15,10
2013-10-16,11
2013-10-17,6
2013-10-18,11
2013-10-19,6
2013-10-20,5
2013-10-21,3
2013-10-22,4
2013-10-23,3
2013-10-24,3
2013-10-25,7
2013-10-26,5
2013-10-27,3
2013-10-28,3
2013-10-29,2
2013-10-30,2
2013-10-31,2
2013-11-01,5
2013-11-02,5
2013-11-03,4
2013-11-04,4
2013-11-05,3
2013-11-06,3
2013-11-07,3
2013-11-08,6
2013-11-09,4
2013-11-10,4
2013-11-11,3
2013-11-12,3
2013-11-13,3
2013-11-14,3
2013-11-15,6
2013-11-16,4
2013-11-17,3
2013-11-18,3
2013-11-19,3
2013-11-20,2
2013-11-21,3
2013-11-22,6
2013-11-23,5
2013-11-24,4
2013-11-25,3
2013-11-26,3
2013-11-27,4
2013-11-28,3
2013-11-29,6
2013-11-30,4
2013-12-01,6
2013-12-02,10
2013-12-03,11
2013-12-04,8
2013-12-05,7
2013-12-06,7
2013-12-07,40
2013-12-08,100
2013-12-09,60
2013-12-10,39
2013-12-11,20
2013-12-12,12
2013-12-13,14
2013-12-14,13
2013-12-15,16
2013-12-16,18
2013-12-17,13
2013-12-18,10
2013-12-19,8
2013-12-20,10
2013-12-21,8
2013-12-22,7
2013-12-23,6
2013-12-24,6
2013-12-25,5
2013-12-26,4
2013-12-27,5
2013-12-28,7
2013-12-29,7
2013-12-30,5
2013-12-31,5
