Category: All categories

Day,rebecca black: (Worldwide)
2010-07-01,28
2010-07-02,19
2010-07-03,12
2010-07-04,12
2010-07-05,9
2010-07-06,17
2010-07-07,34
2010-07-08,26
2010-07-09,36
2010-07-10,23
2010-07-11,0
2010-07-12,41
2010-07-13,17
2010-07-14,43
2010-07-15,26
2010-07-16,18
2010-07-17,56
2010-07-18,11
2010-07-19,0
2010-07-20,17
2010-07-21,8
2010-07-22,8
2010-07-23,18
2010-07-24,22
2010-07-25,22
2010-07-26,25
2010-07-27,33
2010-07-28,17
2010-07-29,8
2010-07-30,0
2010-07-31,11
2010-08-01,23
2010-08-02,0
2010-08-03,17
2010-08-04,25
2010-08-05,9
2010-08-06,9
2010-08-07,0
2010-08-08,22
2010-08-09,8
2010-08-10,0
2010-08-11,8
2010-08-12,34
2010-08-13,18
2010-08-14,11
2010-08-15,43
2010-08-16,25
2010-08-17,41
2010-08-18,25
2010-08-19,34
2010-08-20,9
2010-08-21,33
2010-08-22,32
2010-08-23,0
2010-08-24,40
2010-08-25,24
2010-08-26,0
2010-08-27,0
2010-08-28,21
2010-08-29,0
2010-08-30,32
2010-08-31,31
2010-09-01,24
2010-09-02,24
2010-09-03,17
2010-09-04,52
2010-09-05,62
2010-09-06,25
2010-09-07,24
2010-09-08,39
2010-09-09,8
2010-09-10,8
2010-09-11,0
2010-09-12,39
2010-09-13,30
2010-09-14,31
2010-09-15,16
2010-09-16,8
2010-09-17,17
2010-09-18,20
2010-09-19,20
2010-09-20,39
2010-09-21,54
2010-09-22,16
2010-09-23,23
2010-09-24,57
2010-09-25,20
2010-09-26,19
2010-09-27,30
2010-09-28,38
2010-09-29,0
2010-09-30,30
2010-10-01,16
2010-10-02,20
2010-10-03,10
2010-10-04,45
2010-10-05,15
2010-10-06,15
2010-10-07,32
2010-10-08,73
2010-10-09,59
2010-10-10,68
2010-10-11,31
2010-10-12,39
2010-10-13,30
2010-10-14,46
2010-10-15,16
2010-10-16,67
2010-10-17,9
2010-10-18,22
2010-10-19,30
2010-10-20,37
2010-10-21,31
2010-10-22,32
2010-10-23,57
2010-10-24,37
2010-10-25,37
2010-10-26,15
2010-10-27,7
2010-10-28,23
2010-10-29,72
2010-10-30,48
2010-10-31,29
2010-11-01,31
2010-11-02,29
2010-11-03,29
2010-11-04,59
2010-11-05,47
2010-11-06,38
2010-11-07,27
2010-11-08,36
2010-11-09,29
2010-11-10,22
2010-11-11,22
2010-11-12,39
2010-11-13,56
2010-11-14,27
2010-11-15,15
2010-11-16,81
2010-11-17,15
2010-11-18,22
2010-11-19,85
2010-11-20,56
2010-11-21,36
2010-11-22,56
2010-11-23,29
2010-11-24,15
2010-11-25,0
2010-11-26,64
2010-11-27,28
2010-11-28,62
2010-11-29,14
2010-11-30,36
2010-12-01,21
2010-12-02,14
2010-12-03,46
2010-12-04,100
2010-12-05,61
2010-12-06,43
2010-12-07,22
2010-12-08,30
2010-12-09,44
2010-12-10,16
2010-12-11,45
2010-12-12,62
2010-12-13,14
2010-12-14,29
2010-12-15,44
2010-12-16,22
2010-12-17,47
2010-12-18,83
2010-12-19,56
2010-12-20,37
2010-12-21,15
2010-12-22,8
2010-12-23,8
2010-12-24,10
2010-12-25,57
2010-12-26,30
2010-12-27,24
2010-12-28,32
2010-12-29,48
2010-12-30,50
2010-12-31,68
